Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
ChairBase,-3.34172222934376E-18,-0.0946712867904343,0.158397053532782,0,0,0,122.483916422456,4.58595325954116,-2.69904318662155E-16,1.95290334027259E-16,3.52280414575617,1.55524701887057,3.76088853405292,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/ChairBase.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/ChairBase.STL,,Q500_frame-1,Global_Origin <Q500_frame-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LeftDriveWheel,8.38080561673382E-08,-1.11145362982233E-07,0.0346748144637357,0,0,0,4.94231318671819,0.0344026866789988,-1.31600826850514E-09,-1.35795715791044E-08,0.0344026791170553,3.98834708084824E-10,0.0666994559804568,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/LeftDriveWheel.STL,0.235294117647059,0.235294117647059,0.235294117647059,1,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/LeftDriveWheel.STL,,DriveWheel-1,DRIVE_WHEEL_PIVOT <DriveWheel-1>,Axis_DWL,DWL,continuous,-0.2442,0,0,-1.5708,1.179,1.5708,ChairBase,0,0,1,0,0,0,0,,,,,,,,
RightDriveWheel,8.38080561029293E-08,-1.11145362982279E-07,0.0346748144637356,0,0,0,4.94231318671818,0.0344026866789987,-1.31600826850514E-09,-1.35795715703525E-08,0.0344026791170552,3.98834711733449E-10,0.0666994559804567,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/RightDriveWheel.STL,0.235294117647059,0.235294117647059,0.235294117647059,1,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/RightDriveWheel.STL,,DriveWheel-2,DRIVE_WHEEL_PIVOT <DriveWheel-2>,Axis_DWR,DWR,continuous,0.2442,0,0,1.5708,0.56633,1.5708,ChairBase,0,0,1,0,0,0,0,,,,,,,,
LFCaster,5.28878921213227E-09,0.0173467771283716,-0.0468526389656749,0,0,0,0.531427045356941,0.00125262438184538,2.6519899404736E-11,-1.07027502121536E-10,0.00156364640980983,0.000313736357874171,0.000620519160680663,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/LFCaster.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/LFCaster.STL,,Front Caster Fork-2,Caster_Swivel_Axis <Front Caster Fork-2>,Axis_LFC,LFC,continuous,-0.2615,0.32555,0.030997,-0.10599,0.01689,0.15744,ChairBase,0,0,1,0,0,0,0,,,,,,,,
LFWheel,0,-5.55111512312578E-17,-0.0304000000000001,0,0,0,1.88764295837445,0.00317882687713603,1.35525271560688E-20,-1.01643953670516E-19,0.00317882687713603,-5.01443504774546E-19,0.00543810769554551,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/LFWheel.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/LFWheel.STL,,Caster Wheel-2,Left_Axis <Caster Wheel-2>,Axis_WHEELLF,WHEELLF,continuous,0.030403,0.03772,-0.11117,1.5708,1.4434,1.5708,LFCaster,0,0,1,0,0,0,0,,,,,,,,
RFCaster,5.36165190023752E-09,0.0173467770089031,-0.046852638989923,0,0,0,0.531427044840236,0.00125262438268293,2.66836413275209E-11,-1.08102058855412E-10,0.00156364640890881,0.000313736360139233,0.000620519161218686,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/RFCaster.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/RFCaster.STL,,Front Caster Fork-3,Caster_Swivel_Axis <Front Caster Fork-3>,Axis_RFC,RFC,continuous,0.2615,0.32555,0.030997,-0.10563,0.019024,0.17753,ChairBase,0.9841,-0.17759,0,0,0,0,0,,,,,,,,
RFWheel,0,0,-0.0304000000000001,0,0,0,1.88764295837445,0.00317882687713603,4.33680868994202E-19,1.66018457661843E-19,0.00317882687713603,2.80367905541173E-19,0.00543810769554552,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/RFWheel.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/RFWheel.STL,,Caster Wheel-3,Left_Axis <Caster Wheel-3>,Axis_WHEELRF,WHEELRF,continuous,0.030403,0.03772,-0.11117,1.5708,1.258,1.5708,RFCaster,0,0,1,0,0,0,0,,,,,,,,
LRCaster,4.98532537474006E-09,0.0173467748531272,-0.0468526400899979,0,0,0,0.531427025681135,0.00125262438101401,2.25793039573043E-11,-1.01760806432791E-10,0.0015636463796136,0.000313736400342854,0.00062051916797408,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/LRCaster.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/LRCaster.STL,,Front Caster Fork-4,Caster_Swivel_Axis <Front Caster Fork-4>,Axis_LRC,LRC,continuous,-0.20845,-0.38076,0.036912,-0.015267,0.030888,-2.0299,ChairBase,0.44298,-0.89653,0,0,0,0,0,,,,,,,,
LRWheel,1.38777878078145E-17,-2.77555756156289E-17,-0.0304000000000001,0,0,0,1.88764295837444,0.00317882687713603,3.25260651745651E-19,1.6940658945086E-19,0.00317882687713603,1.38913403349705E-19,0.00543810769554551,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/LRWheel.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/LRWheel.STL,,Caster Wheel-4,Left_Axis <Caster Wheel-4>,Axis_WHEELLR,WHEELLR,continuous,0.030403,0.03772,-0.11117,-1.5708,1.0052,-1.5708,LRCaster,0,0,1,0,0,0,0,,,,,,,,
RRCaster,4.96052365850375E-09,0.0173467749190128,-0.0468526401060469,0,0,0,0.531427025422204,0.00125262438018788,2.25538810008406E-11,-1.01401547479435E-10,0.00156364637935991,0.000313736399108148,0.000620519167494877,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/RRCaster.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/RRCaster.STL,,Front Caster Fork-5,Caster_Swivel_Axis <Front Caster Fork-5>,Axis_RRC,RRC,continuous,0.20845,-0.38076,0.036912,-0.014894,0.031069,-2.0179,ChairBase,0.43216,-0.9018,0,0,0,0,0,,,,,,,,
RRWheel,-5.55111512312578E-17,2.77555756156289E-17,-0.0304,0,0,0,1.88764295837445,0.00317882687713603,-2.71050543121376E-20,6.28498446862691E-19,0.00317882687713603,9.48676900924816E-20,0.00543810769554551,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/RRWheel.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://LUCI_SDK_URDF2/meshes/RRWheel.STL,,Caster Wheel-5,Left_Axis <Caster Wheel-5>,Axis_WHEELRR,WHEELRR,continuous,-0.030402,0.03772,-0.11117,1.5708,0.14984,-1.5708,RRCaster,0,0,1,0,0,0,0,,,,,,,,
